_address	name	description	unit	type	len	factor	offset	formula	role	room	cw	isScale
6471	Export power from PV of today - Day 4		W	uint16be	1				value		false	false
6472	Export power from PV of today - Day 5		W	uint16be	1				value		false	false
6473	Export power from PV of today - Day 6		W	uint16be	1				value		false	false
6474	Export power from PV of today - Day 7		W	uint16be	1				value		false	false
6475	Export power from PV of today - Day 8		W	uint16be	1				value		false	false
6476	Export power from PV of today - Day 9		W	uint16be	1				value		false	false
6477	Export power from PV of today - Day 10		W	uint16be	1				value		false	false
6478	Export power from PV of today - Day 11		W	uint16be	1				value		false	false
6479	Export power from PV of today - Day 12		W	uint16be	1				value		false	false
6480	Export power from PV of today - Day 13		W	uint16be	1				value		false	false
6481	Export power from PV of today - Day 14		W	uint16be	1				value		false	false
6482	Export power from PV of today - Day 15		W	uint16be	1				value		false	false
6483	Export power from PV of today - Day 16		W	uint16be	1				value		false	false
6484	Export power from PV of today - Day 17		W	uint16be	1				value		false	false
6485	Export power from PV of today - Day 18		W	uint16be	1				value		false	false
6486	Export power from PV of today - Day 19		W	uint16be	1				value		false	false
